gene,knn_permutation_importance_mean,knn_permutation_importance_std
TRIM27,0.0,0.0
TRIM59,0.0,0.0
TSC22D3,0.0,0.0
TSPAN1,0.0,0.0
TSPYL2,0.0,0.0
TTC30B,0.0,0.0
TUBB2A,0.0,0.0
UAP1,0.0,0.0
UBALD1,0.0,0.0
UBE2B,0.0,0.0
UBXN11,0.0,0.0
UHRF1,0.0,0.0
UNC5CL,0.0,0.0
UNC79,0.0,0.0
USP2,0.0,0.0
USP36,0.0,0.0
VCAM1,0.0,0.0
VPS37B,0.0,0.0
VWDE,0.0,0.0
WASF1,0.0,0.0
WBP11,0.0,0.0
WDR19,0.0,0.0
WDR5B,0.0,0.0
WFDC1,0.0,0.0
WFDC2,0.0,0.0
WNT7A,0.0,0.0
XRCC4,0.0,0.0
YDJC,0.0,0.0
YPEL2,0.0,0.0
YRDC,0.0,0.0
ZBTB10,0.0,0.0
ZBTB16,0.0,0.0
ZDHHC2,0.0,0.0
ZFAND5,0.0,0.0
ZFP36,0.0,0.0
ZFP64,0.0,0.0
ZFR2,0.0,0.0
ZNF300,0.0,0.0
ZNF331,0.0,0.0
ZNF503-AS1,0.0,0.0
ZNF593,0.0,0.0
ZNF608,0.0,0.0
ZNF672,0.0,0.0
ZNRF2,0.0,0.0
AC097634.1,0.0,0.0
TLR6,0.0,0.0
RPA4,0.0,0.0
FAM53B,0.0,0.0
SERPINA4,0.0,0.0
SPN,0.0,0.0
FLCN,0.0,0.0
ZNF799,0.0,0.0
PCDHA9,0.0,0.0
