gene,mean_expr_CKD,mean_expr_Ref,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,f_classif_score,f_classif_p_value,statistical_rank_score
PPP1R35,0.25270304882310807,0.21216832856732068,0.04053472025578739,up_in_CKD,0.7094151489038599,1.9255841697886231,0.06815735706315534,0.272761060615552,4.11766243768052,0.05109895301415972,0.016224610899513804
PPP1R36,0.00963793707431446,0.006376285342547649,0.003261651731766811,up_in_CKD,0.5570611824235668,1.4927803535925368,0.15261643833236863,0.3990950461560892,2.5389585896984386,0.12121464825248514,0.0007248201887566499
PPP1R3B,0.03685276416613486,0.03921888474392305,-0.0023661205777881916,down_in_CKD,-0.2100264779926726,-0.610553377720696,0.5459467956214793,0.687796473302583,0.3609091755655085,0.5523691774314194,8.077395079519604e-05
PPP1R3C,0.03493280375509977,0.025802513707261172,0.0091302900478386,up_in_CKD,0.5901425116714704,1.664626826619465,0.1071896224713357,0.34060341083775725,2.8494669606701857,0.1014415884212572,0.002520323021257094
PPP1R3D,0.024383389212185826,0.027801478797590224,-0.0034180895854043977,down_in_CKD,-0.4858613329314394,-1.37904498177681,0.17846371665892719,0.39988184392695764,1.9314101032193045,0.17450494368339942,0.0006610790398687824
PPP1R3E,0.03969491707347291,0.040379448981895646,-0.000684531908422735,down_in_CKD,-0.07504531171101678,-0.221574658102272,0.8261347323180479,0.8919303529790312,0.04607835389839367,0.8314392943522312,2.551544653072373e-06
PPP1R3F,0.011061942788912234,0.011227070458961534,-0.00016512767004930005,down_in_CKD,-0.029312503991715717,-0.08205679658941835,0.9352184391855726,0.9615408090393057,0.007030005465799227,0.9337186796528079,8.244143357132478e-08
PPP1R3G,0.005569593379579746,0.0012821377154838723,0.0042874556640958746,up_in_CKD,1.328127615201403,3.5455365845834907,0.0023796988031926534,0.046561779686343834,14.432096963950082,0.0006366287342704511,0.007584623581785497
PPP1R42,0.00969276211994504,0.008663074801191573,0.0010296873187534677,up_in_CKD,0.3036737044092042,0.8377623233758545,0.4105627481422999,0.5740794005691483,0.7545086079513442,0.3917278861050921,7.536680664187277e-05
PPP1R7,0.21133253836430602,0.2316839553779403,-0.02035141701363427,down_in_CKD,-0.4825025718712172,-1.3482007338487265,0.18916363624434357,0.40615325290738263,1.9047987152373205,0.1774148485181765,0.0038425126297608084
