gene,rank_score,adj_p_value,diff_mean_log_expr,cohen_d,pct_expr_case,pct_expr_control,traditional_rank,combined_ml_biomarker_score,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,ml_rank,random_forest_importance,rf_rank,traditional_score_scaled,ml_score_scaled,rf_score_scaled,consensus_score,mean_rank
TMEM139,0.2149451405701761,0.0248567496918566,0.0827756621062457,1.6183415359580011,0.1301945941812899,0.0844803695150115,74,0.2882472133199594,0.825,0.9,63,0.001893691588785,137,0.07540453474563756,0.4149744633249794,0.16118003222821747,0.21718634343294482,91.33333333333333
PLEKHA1,0.3950447716474778,0.0073739339365525,0.0970958666947977,1.9080823508210667,0.2135183698436365,0.1934411085450346,28,0.2986720110864812,0.8666666666666666,0.95,53,0.0001079646017699,281,0.16660374357542246,0.44439360399847305,0.009189320001122341,0.20672888919167262,120.66666666666667
ZDHHC2,0.2983296156937011,0.0189904585256637,0.1060519374903336,1.6341039432774092,0.2244714607944336,0.1942263279445727,45,0.3096067680640169,0.8833333333333332,0.875,43,0.0,499,0.11762893084497404,0.4752518672432206,0.0,0.19762693269606488,195.66666666666666
TNFSF10,0.6848996023380972,0.0150967265177583,0.2267663212090012,1.6584808465193142,0.2888710479030469,0.2112240184757506,12,0.2071880637258201,0.7333333333333332,0.7833333333333334,157,0.001,178,0.31338100833911103,0.18622273324903132,0.08511419345302748,0.1949059783470566,115.66666666666667
SEL1L3,0.2648745269690142,0.0035643914097255,0.0465096380708742,2.3263937826078567,0.0510953090950797,0.0158891454965357,52,0.3025652200029683,0.875,0.861111111111111,48,2.589606442013324e-18,319,0.10068787658089214,0.45538037451916846,2.2041226367272824e-16,0.1853560837000203,139.66666666666666
F2RL1,0.1357388655404598,0.0187282817299305,0.0495056784354432,1.587196229669727,0.1122835187521504,0.0951501154734411,150,0.2951305660367538,0.85,0.9416666666666668,55,0.001,219,0.03529590390694356,0.4343995233036933,0.08511419345302748,0.18493654022122144,141.33333333333334
XRCC4,0.1801139266255536,0.0008619969179712,0.0267656998718175,2.1958864275159127,0.0729823756547004,0.0652655889145496,98,0.2559825741606436,0.7833333333333332,0.8944444444444445,95,0.0019999999999999,119,0.05776663545995215,0.3239225331613387,0.17022838690604644,0.18397251850911242,104.0
MDM4,0.4685245292935498,0.0193556816954814,0.1684079905652345,1.6239165986317514,0.3167412165003632,0.2676674364896074,22,0.2579520417089773,0.8166666666666667,0.9,94,1.353386002301209e-18,369,0.20381256916957263,0.32948043885447154,1.151923580164846e-16,0.17776433600801475,161.66666666666666
CASP2,0.0894901811230048,0.0114918947134719,0.0263972542185004,1.7478436637991055,0.0615514011545666,0.0508083140877598,245,0.2946692643999025,0.85,0.85,56,0.001,184,0.011876403250221337,0.4330977140934443,0.08511419345302748,0.17669610359889767,161.66666666666666
MARCKS,0.6626778557949982,0.0087469319353448,0.1802849582307167,1.7859411913055077,0.2880490881981878,0.2229099307159353,13,0.2198018698678345,0.7666666666666666,0.8861111111111111,144,1.0869083411080277e-18,382,0.30212831619630043,0.22181933144029878,9.251132681077785e-17,0.17464921587886642,179.66666666666666
TSPAN1,0.7892237193375666,0.0314284713892451,0.3277829751936804,1.6023160086664805,0.3588331995259395,0.2285912240184757,7,0.1945106658071246,0.7333333333333332,0.8388888888888888,169,1.9031859609043242e-18,339,0.36620886187387947,0.15044667685955626,1.6198813805349665e-16,0.1722185129111453,171.66666666666666
RSPRY1,0.1005748509630642,0.0093695286564187,0.0280324252628873,1.7688879903329842,0.1030508085789654,0.1042956120092378,207,0.2552353173353081,0.7833333333333332,0.9111111111111112,98,0.0019999999999999,124,0.017489480375953458,0.32181374849653,0.17022838690604644,0.16984387192617664,143.0
CEPT1,0.1307316081910585,0.014319609541639,0.042207925601826,1.679613937037985,0.1009290056199105,0.0880831408775981,158,0.2698638493373586,0.8166666666666667,0.9333333333333332,84,0.0011054164239953,168,0.0327603189868583,0.363095972905437,0.09408662735808981,0.16331430641679504,136.66666666666666
MESP1,0.0952280997282927,0.0085434180796156,0.0251875019522389,1.8278987645896736,0.0525480750850632,0.0372286374133949,224,0.274722418510184,0.825,0.9444444444444444,79,0.001,204,0.014781981868021798,0.3768070235338023,0.08511419345302748,0.15890106628495052,169.0
ARNT,0.1267983336334938,0.0021186615346026,0.0243725904879613,1.94563089374502,0.0712811102190618,0.068729792147806,163,0.2406891902512358,0.7666666666666666,0.8444444444444444,114,0.0018945835760046,133,0.03076857960563626,0.2807640736227299,0.1612559530009841,0.15759620207645011,136.66666666666666
FZD1,0.160592941173201,0.0191447056899414,0.0561137562036945,1.6658897699871944,0.097927896930076,0.0664665127020785,122,0.2882495327569148,0.8583333333333332,0.8777777777777779,62,9.357594064697741e-19,403,0.047881560081490304,0.41498100885647093,7.964640714775853e-17,0.15428752297932044,195.66666666666666
