gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
MT1M,0.7952380952380953,0.7833333333333332,0.9083333333333332,0.2833333333333332
PLS1,0.7809523809523811,0.7833333333333332,0.8944444444444445,0.2833333333333332
DHRS3,0.7857142857142857,0.7833333333333332,0.9111111111111111,0.2833333333333332
GOT1,0.7666666666666667,0.7833333333333332,0.8083333333333333,0.2833333333333332
SH3RF3,0.780952380952381,0.7833333333333332,0.9388888888888889,0.2833333333333332
RCAN3,0.7904761904761906,0.7833333333333332,0.8722222222222221,0.2833333333333332
XRCC4,0.7904761904761906,0.7833333333333332,0.8944444444444445,0.2833333333333332
HAPLN2,0.780952380952381,0.7833333333333332,0.8777777777777777,0.2833333333333332
ATP1B2,0.7809523809523808,0.7833333333333332,0.9055555555555556,0.2833333333333332
ABCC3,0.7809523809523811,0.7833333333333332,0.925,0.2833333333333332
RSPRY1,0.7904761904761906,0.7833333333333332,0.9111111111111111,0.2833333333333332
NEXN,0.780952380952381,0.775,0.8722222222222221,0.275
TP53,0.780952380952381,0.775,0.8333333333333334,0.275
ANO9,0.7809523809523811,0.775,0.775,0.275
ADAM10,0.7857142857142857,0.775,0.7361111111111112,0.275
MRPL55,0.761904761904762,0.775,0.8805555555555555,0.275
LONRF1,0.7761904761904762,0.7749999999999999,0.8166666666666667,0.2749999999999999
DOCK11,0.7571428571428571,0.7749999999999999,0.8833333333333332,0.2749999999999999
PIFO,0.7809523809523808,0.7749999999999999,0.8277777777777777,0.2749999999999999
NUDT16,0.780952380952381,0.7749999999999999,0.875,0.2749999999999999
COL27A1,0.7809523809523808,0.7749999999999999,0.8138888888888888,0.2749999999999999
CNBP,0.7666666666666667,0.7666666666666666,0.8277777777777778,0.2666666666666666
TFAP4,0.7619047619047619,0.7666666666666666,0.8333333333333334,0.2666666666666666
SERTAD1,0.7666666666666667,0.7666666666666666,0.8666666666666666,0.2666666666666666
MARCKS,0.761904761904762,0.7666666666666666,0.8861111111111111,0.2666666666666666
C7orf57,0.7619047619047619,0.7666666666666666,0.775,0.2666666666666666
ARNT,0.7619047619047619,0.7666666666666666,0.8444444444444444,0.2666666666666666
WASF1,0.761904761904762,0.7666666666666666,0.8833333333333332,0.2666666666666666
GADD45G,0.7619047619047619,0.7666666666666666,0.8777777777777779,0.2666666666666666
ATF4,0.7619047619047619,0.7666666666666666,0.85,0.2666666666666666
ZNF593,0.7571428571428571,0.7666666666666666,0.8277777777777778,0.2666666666666666
ING2,0.7571428571428571,0.7666666666666665,0.825,0.2666666666666665
RCAN1,0.7571428571428571,0.7666666666666665,0.8277777777777778,0.2666666666666665
COQ10A,0.7571428571428571,0.7666666666666665,0.9166666666666666,0.2666666666666665
TNNC1,0.7571428571428571,0.7666666666666665,0.8666666666666666,0.2666666666666665
ASCL2,0.7571428571428571,0.7666666666666665,0.9111111111111111,0.2666666666666665
COX6C,0.7571428571428571,0.7666666666666665,0.8666666666666666,0.2666666666666665
FERMT2,0.7619047619047619,0.7583333333333333,0.8666666666666666,0.2583333333333333
FLRT3,0.7571428571428571,0.7583333333333333,0.8333333333333334,0.2583333333333333
FAM117B,0.7619047619047619,0.7583333333333333,0.8583333333333334,0.2583333333333333
EHD3,0.7619047619047619,0.7583333333333333,0.8666666666666666,0.2583333333333333
ETV1,0.7571428571428571,0.7583333333333333,0.8,0.2583333333333333
RUNX1,0.7571428571428571,0.7583333333333333,0.6000000000000001,0.2583333333333333
SLFN13,0.7571428571428571,0.7583333333333333,0.8638888888888889,0.2583333333333333
MARCH1,0.7619047619047619,0.7583333333333333,0.8444444444444444,0.2583333333333333
SLC45A1,0.7571428571428571,0.7583333333333333,0.8527777777777776,0.2583333333333333
CLEC1A,0.7476190476190476,0.7583333333333333,0.888888888888889,0.2583333333333333
SPRY4,0.7571428571428571,0.7583333333333333,0.8444444444444444,0.2583333333333333
MGP,0.7571428571428571,0.7583333333333333,0.9166666666666666,0.2583333333333333
USP36,0.7571428571428571,0.7583333333333333,0.8416666666666666,0.2583333333333333
ADIPOR2,0.7571428571428571,0.7583333333333333,0.8027777777777778,0.2583333333333333
HSPA9,0.7571428571428571,0.7583333333333333,0.825,0.2583333333333333
WDR19,0.7571428571428571,0.7583333333333333,0.8222222222222222,0.2583333333333333
GAD1,0.7523809523809523,0.7583333333333332,0.8861111111111111,0.2583333333333332
UBXN11,0.7523809523809524,0.7583333333333332,0.8166666666666667,0.2583333333333332
ZNF608,0.7523809523809524,0.7583333333333332,0.95,0.2583333333333332
FAM227A,0.761904761904762,0.7583333333333332,0.9166666666666666,0.2583333333333332
MYOM1,0.7571428571428571,0.7583333333333332,0.7972222222222223,0.2583333333333332
