gene,mean_expr_CKD,mean_expr_Ref,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,f_classif_score,f_classif_p_value,statistical_rank_score,random_forest_importance,knn_permutation_importance_mean,knn_permutation_importance_std,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score,rf_importance_scaled,knn_permutation_importance_scaled,knn_single_gene_importance_scaled,statistical_score_scaled,combined_ml_biomarker_score
NOD2,0.004520589373358686,0.00037253426880223887,0.004148055104556447,up_in_CKD,1.8070377366940018,4.7967687435938435,0.00017617654288662647,0.010970560974842981,26.716789487750574,1.323610477051763e-05,0.01468984125011723,0.0009999999999999998,0.0,0.0,0.8523809523809524,0.8416666666666666,0.85,0.34166666666666656,0.03448275862068965,0.0,0.6833333333333331,0.0006816501033366044,0.2872627668022764
WNT7A,0.006717784848912394,0.0011418863636480443,0.005575898485264349,up_in_CKD,1.637210796507024,4.3434366527624615,0.00046404111366222156,0.01872299402968157,21.9310297543568,5.316851875159958e-05,0.015771349760818877,8.049116928532376e-19,0.0,0.0,0.8523809523809524,0.8583333333333332,0.875,0.35833333333333317,2.7755575615628883e-17,0.0,0.7166666666666663,0.0007318351513250102,0.28681303369693156
TNFAIP8,0.15754999339819475,0.06959079509785818,0.08795919830033658,up_in_CKD,1.9967091600212548,5.291626602047336,6.65897649774235e-05,0.006079610653886344,32.619661115831875,2.7957316919838826e-06,0.38921554313323653,0.0030041357664561128,0.0,0.0,0.7904761904761904,0.7999999999999999,0.9166666666666666,0.29999999999999993,0.10359088849848666,0.0,0.5999999999999999,0.018060699954457714,0.28504849539028615
STAT1,0.2501106839252592,0.14169028991232102,0.10842039401293818,up_in_CKD,1.8276340781149985,4.903539613449845,0.00010746073935921588,0.008247185314314424,27.329288101259397,1.1178080458776598e-05,0.4128898636284574,0.0010000000000000005,0.0,0.0,0.8428571428571429,0.8333333333333333,0.9277777777777778,0.33333333333333326,0.034482758620689676,0.0,0.6666666666666665,0.019159255257896572,0.2842916211665218
FAS,0.057622481299838296,0.024780350658688395,0.0328421306411499,up_in_CKD,1.71093990763179,4.507483051242733,0.0003803111832812463,0.016615703956308667,23.950762097948832,2.9100716892510605e-05,0.09999067450329471,0.00298077615379077,0.0,0.0,0.7857142857142857,0.7999999999999999,0.9,0.29999999999999993,0.10278538461347483,0.0,0.5999999999999999,0.004639849570009729,0.28204212375939186
GPR180,0.058208479119216366,0.03031383981000625,0.027894639309210115,up_in_CKD,1.7217244344098157,4.624504030951602,0.00019448515390690707,0.011444248103122463,24.253650229449264,2.664082334020196e-05,0.09324000053484016,8.881784197001249e-19,0.0,0.0,0.8523809523809524,0.85,0.9277777777777778,0.35,3.0626842058624995e-17,0.0,0.7,0.004326599240762499,0.2808653198481525
ANKRD45,0.0158107144454379,0.006200737275418856,0.009609977170019043,up_in_CKD,1.5946071871297482,4.216591145149361,0.0006451725029739303,0.022577146334467692,20.804498846556942,7.523211595118705e-05,0.025228603796164064,0.0010000000000000005,0.0,0.0,0.8428571428571429,0.8333333333333333,0.8111111111111111,0.33333333333333326,0.034482758620689676,0.0,0.6666666666666665,0.0011706784363347865,0.28069390580220943
VWDE,0.003946220260653821,0.00036682972692270003,0.003579390533731121,up_in_CKD,1.6613857429501335,4.375112032223235,0.0005025718452642303,0.019336351765404932,22.58347571081973,4.3644984346408614e-05,0.010190499475659138,0.0010000000000000002,0.0,0.0,0.8428571428571429,0.8333333333333333,0.9222222222222222,0.33333333333333326,0.03448275862068967,0.0,0.6666666666666665,0.00047286794338769524,0.28055434370362003
SAMD13,0.017952385440421704,0.008044347345143954,0.00990803809527775,up_in_CKD,1.9449550154727553,5.336777628685162,2.162607556329977e-05,0.0030603534248357387,30.95059100901239,4.270641029088866e-06,0.04845091234084453,3.255786033967568e-18,0.0,0.0,0.8428571428571429,0.85,0.8888888888888887,0.35,1.1226848392991615e-16,0.0,0.7,0.0022482591092416247,0.28044965182184833
RGS17,0.00435982903797908,0.0008104658133720888,0.0035493632246069912,up_in_CKD,2.082815361921954,5.73272586051557,7.530543936274658e-06,0.0015493693588037435,35.493707715202476,1.3842778984334976e-06,0.020772252191349188,8.534839501805886e-19,0.0,0.0,0.8523809523809524,0.85,0.8166666666666667,0.35,2.9430481040709955e-17,0.0,0.7,0.0009638911416183061,0.2801927782283236
SYT8,0.005584436256408234,0.001226390136624911,0.004358046119783323,up_in_CKD,1.6581905420747354,4.467637368157367,0.00025969437533799163,0.013509346524364143,22.496693513122665,4.479923029926136e-05,0.013508916451545304,1.022330368508997e-18,0.0,0.0,0.8523809523809526,0.85,0.8833333333333332,0.35,3.525277132789645e-17,0.0,0.7,0.0006268518589394508,0.28012537037178786
CDCA2,0.001514715281341513,0.00016469666281963334,0.0013500186185218797,up_in_CKD,1.7535073848327531,4.6684371600184775,0.0002154983229978355,0.012161320646771508,25.15735757997001,2.0532227501136117e-05,0.004533363082283682,0.0,0.0,0.0,0.8476190476190476,0.8499999999999999,0.836111111111111,0.34999999999999987,0.0,0.0,0.6999999999999997,0.00021036084467395853,0.28004207216893473
MESP1,0.055311636420807796,0.03012413446856877,0.025187501952239025,up_in_CKD,1.8278987645896771,4.946946641217738,7.833770623164068e-05,0.006684049581705576,27.337204583905645,1.1153829784554958e-05,0.100135616967931,0.0010000000000000005,0.0,0.0,0.8142857142857144,0.825,0.9444444444444444,0.32499999999999996,0.034482758620689676,0.0,0.6499999999999999,0.0046465753095405364,0.274722418510184
SLITRK2,0.011552560989754048,0.002190471513422911,0.009362089476331137,up_in_CKD,1.6038999585459204,4.198868381306607,0.0008031457678516606,0.025079934042386086,21.047686993829505,6.97525149726083e-05,0.024035482706655616,0.0020000000000000005,0.0,0.0,0.819047619047619,0.8083333333333333,0.85,0.30833333333333335,0.06896551724137934,0.0,0.6166666666666667,0.0011153142496081244,0.27447593641314005
CDT1,0.003807601041773707,0.0009822184079713444,0.0028253826338023626,up_in_CKD,2.0536172028852677,5.790153475865472,3.309436080107859e-06,0.0010787274234149325,34.50553867625164,1.7562991997056491e-06,0.017215800975800107,0.0,0.0,0.0,0.8476190476190476,0.8416666666666666,0.888888888888889,0.34166666666666656,0.0,0.0,0.6833333333333331,0.0007988617653770021,0.27349310568640867
TNFRSF11A,0.004095362493781141,0.0011675804836688724,0.0029277820101122685,up_in_CKD,1.6576589092104461,4.536498984828958,0.00016213200503664617,0.010498771129716753,22.482270485057175,4.499420050981396e-05,0.009603937300647854,2.0490553698238027e-18,0.0,0.0,0.8476190476190476,0.8416666666666666,0.8527777777777779,0.34166666666666656,7.065708171806217e-17,0.0,0.6833333333333331,0.0004456498026057726,0.27342246329385445
GSTCD,0.03888320120404498,0.025106809562407215,0.013776391641637766,up_in_CKD,2.173191985583327,5.941706067925694,5.739123273998937e-06,0.0013557771628166075,38.64079150530221,6.643080147163535e-07,0.08585867963059363,0.0012307775611869168,0.0,0.0,0.819047619047619,0.8166666666666667,0.8166666666666668,0.31666666666666665,0.042440605558169545,0.0,0.6333333333333333,0.003984085113382114,0.2711063925792776
CEPT1,0.12048239241851004,0.07827446681668404,0.042207925601826,up_in_CKD,1.679613937037983,4.556530422656637,0.00018388863721223493,0.011203124940748415,23.08175163402737,3.7603459053811123e-05,0.13828823675286037,0.0011054164239953437,0.0,0.0,0.8238095238095238,0.8166666666666667,0.9333333333333332,0.31666666666666665,0.038117807723977375,0.0,0.6333333333333333,0.006416964572171386,0.26986384933735863
STK32A,0.03624262624028686,0.02329575700014483,0.012946869240142031,up_in_CKD,1.5752822407833902,4.273143690210534,0.0003588486997931251,0.016235728043851618,20.303297493770767,8.802941191472967e-05,0.036497380308967264,0.0011244870041039667,0.0,0.0,0.8285714285714285,0.8166666666666667,0.8833333333333332,0.31666666666666665,0.03877541393461954,0.0,0.6333333333333333,0.0016935814782153857,0.26918221520282426
RLN2,0.02509184819197494,0.013158096856967368,0.011933751335007571,up_in_CKD,2.030823058070645,5.630595451220046,7.782945037709713e-06,0.0015900227855208365,33.74380058065696,2.115464105328725e-06,0.06782493405437351,0.0009797487546025555,0.0,0.0,0.8142857142857143,0.8166666666666667,0.8444444444444444,0.31666666666666665,0.033784439813881226,0.0,0.6333333333333333,0.0031472684094930657,0.2674765629407844
WFDC2,1.487985768992105,0.7588548440418017,0.7291309249503033,up_in_CKD,1.6631589641903648,4.429956049296075,0.00035607337666367263,0.016235728043851618,22.63170878318264,4.301721956634946e-05,2.170090440116291,3.5487485965696973e-19,0.0,0.0,0.8142857142857143,0.8083333333333333,0.8472222222222221,0.30833333333333335,1.2237064126102405e-17,0.0,0.6166666666666667,0.10069832257331184,0.26680633118132907
CX3CR1,0.03747663552496747,0.008710864943024598,0.028765770581942875,up_in_CKD,1.858201459222532,4.865058200178808,0.00021591469525693234,0.012161320646771508,28.251103606827936,8.698431645663232e-06,0.10236275254330734,0.001999999999999999,0.0,0.0,0.7952380952380953,0.7916666666666666,0.8666666666666666,0.29166666666666663,0.06896551724137928,0.0,0.5833333333333333,0.0047499206874279795,0.2618695243673706
AGPS,0.1262316799133238,0.08422984727081126,0.04200183264251253,up_in_CKD,1.8268999775073418,5.002688206754631,5.1348799740026736e-05,0.005187677077229541,27.307337954860852,1.1245615229916291e-05,0.17533731798472033,6.2796989830360405e-19,0.0,0.0,0.8238095238095238,0.825,0.9027777777777779,0.32499999999999996,2.165413442426221e-17,0.0,0.6499999999999999,0.008136146530657293,0.2616272293061314
TP53INP1,0.10501017409089478,0.06361630556505665,0.04139386852583812,up_in_CKD,1.6621349403483765,4.4562385206511514,0.00029437504482881475,0.014652304557316082,22.60384821758374,4.337864676285276e-05,0.12618969771320196,1.0408035849535386e-18,0.0,0.0,0.8238095238095238,0.825,0.85,0.32499999999999996,3.588977879150133e-17,0.0,0.6499999999999999,0.005855558206630214,0.261171111641326
EPG5,0.07914143343986664,0.05061651641886242,0.028524917021004223,up_in_CKD,1.7978249205408126,5.001702073723639,3.5995510965296546e-05,0.0041273904075227385,26.445063640234736,1.427532573290909e-05,0.12227484979881693,3.7143490897385717e-19,0.0,0.0,0.8190476190476191,0.825,0.8527777777777776,0.32499999999999996,1.2808100309443352e-17,0.0,0.6499999999999999,0.0056738982118112544,0.2611347796423622
DNAJC22,0.03565015844667361,0.017855751826516317,0.017794406620157292,up_in_CKD,1.5774688961156298,4.378777091220689,0.00018868720555363384,0.01127175616584669,20.359702785373056,8.647954587589442e-05,0.054680835740528205,0.0,0.0,0.0,0.819047619047619,0.825,0.85,0.32499999999999996,0.0,0.0,0.6499999999999999,0.0025373451420222454,0.2605074690284044
MMP7,0.42805640014055263,0.14754696377971604,0.2805094363608366,up_in_CKD,1.5819513000485952,4.2112050120956255,0.0005779389479176622,0.02126297666596728,20.475572037753608,8.338643052184837e-05,0.7421206143825251,0.0,0.0,0.0,0.8142857142857143,0.8166666666666667,0.8555555555555555,0.31666666666666665,0.0,0.0,0.6333333333333333,0.034436491509262264,0.26022063163518583
MDM4,0.446416628928475,0.27800863836324036,0.16840799056523464,up_in_CKD,1.6239165986317516,4.379429344584808,0.0003118947724034705,0.015143158737484308,21.576314612550412,5.9257204575324277e-05,0.4976753651667238,1.3533860023012087e-18,0.0,0.0,0.8142857142857144,0.8166666666666667,0.9,0.31666666666666665,4.666848283797272e-17,0.0,0.6333333333333333,0.023093541878219572,0.2579520417089773
XRCC4,0.08394195005443213,0.0571762501826146,0.026765699871817525,up_in_CKD,2.1958864275159082,6.161947784123392,1.3948170193709295e-06,0.0006743940288658443,39.45204983903382,5.528466435236738e-07,0.18637881122614508,0.001999999999999999,0.0,0.0,0.7904761904761906,0.7833333333333332,0.8944444444444445,0.2833333333333332,0.06896551724137928,0.0,0.5666666666666664,0.008648502987126659,0.25598257416064363
PRKACB,0.22763303037766155,0.14780916528810553,0.07982386508955602,up_in_CKD,1.7071537710830216,4.562458837665814,0.00024884210639946567,0.013245705516786237,23.84487816646076,3.0016907351605595e-05,0.2559078545430275,9.670626872392806e-19,0.0,0.0,0.8238095238095238,0.8166666666666667,0.9,0.31666666666666665,3.3346989215147607e-17,0.0,0.6333333333333333,0.011874846877090067,0.2557083027087514
