gene,mean_expr_CKD,mean_expr_Ref,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,f_classif_score,f_classif_p_value,statistical_rank_score,random_forest_importance,knn_permutation_importance_mean,knn_permutation_importance_std,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score,rf_importance_scaled,knn_permutation_importance_scaled,knn_single_gene_importance_scaled,statistical_score_scaled,combined_ml_biomarker_score
EIF1B,0.5267846746065925,0.6903159568991167,-0.16353128229252423,down_in_CKD,-1.6155232115809182,-4.616436282491207,6.951272095339096e-05,0.006243232306061522,21.353852022191372,6.345250341547947e-05,0.5824276402049305,0.0,0.0,0.0,0.7333333333333333,0.7416666666666666,0.7972222222222222,0.24166666666666659,0.0,0.0,0.48333333333333317,0.0270262866951416,0.1987385906723616
FCN3,0.02823588320510563,0.1231015421551811,-0.09486565895007547,down_in_CKD,-1.5701755229870187,-4.819454321166744,7.73133768742399e-05,0.006674481856995558,20.171873233534555,9.17568539016769e-05,0.324065483295378,0.00010585452395032678,0.0,0.0,0.7333333333333333,0.7416666666666666,0.9555555555555555,0.24166666666666659,0.0036501559982871305,0.0,0.48333333333333317,0.015037553259764342,0.197800906384601
ARRDC2,0.05092622653483721,0.1107591878818193,-0.059832961346982086,down_in_CKD,-1.8592346548981014,-5.650286459086889,7.1100478246158035e-06,0.0015055656014022222,28.282528652515055,8.625005811913453e-06,0.31396260826358624,0.001020874178295468,0.0,0.0,0.7285714285714285,0.725,0.8916666666666668,0.22499999999999998,0.03520255787225752,0.0,0.44999999999999996,0.014568751337935358,0.19699477341649008
PRX,0.011064353994517436,0.04396454376717096,-0.03290018977265352,down_in_CKD,-1.718067623551153,-5.329415312185036,3.284353636456122e-05,0.0039011716074381407,24.150733847138497,2.745079725104697e-05,0.13615709939196505,0.0011250000000000008,0.0,0.0,0.7285714285714285,0.725,0.888888888888889,0.22499999999999998,0.03879310344827589,0.0,0.44999999999999996,0.006318073782438229,0.196780856135798
COX5B,1.7133378925428018,2.0231376931092404,-0.30979980056643863,down_in_CKD,-1.599101453734541,-4.523934476246451,9.917875851901521e-05,0.007852220593745744,20.921935576384815,7.253072894856163e-05,1.0428234801761782,0.0,0.0,0.0,0.7238095238095237,0.7333333333333332,0.8166666666666667,0.23333333333333317,0.0,0.0,0.46666666666666634,0.04838995336442159,0.19634465733955087
DUSP1,0.5117602669575104,1.1288710876506252,-0.6171108206931147,down_in_CKD,-1.80681630661958,-5.343143628953073,8.788485128370257e-06,0.0017111003595571888,26.7102422661798,1.326017312895023e-05,3.0849141435286964,0.0019999999999999987,0.0,0.0,0.6714285714285715,0.675,0.8555555555555555,0.17500000000000004,0.06896551724137927,0.0,0.3500000000000001,0.14314872495331474,0.1962159518872147
ALDH1L1-AS2,0.003291426350297428,0.00949350646196972,-0.006202080111672292,down_in_CKD,-1.719352499679924,-5.239083401881867,2.1996699215595587e-05,0.0030976905060409125,24.18687014854585,2.716344334135299e-05,0.02675447143668419,0.0011058545239503263,0.0,0.0,0.7238095238095238,0.725,0.8666666666666668,0.22499999999999998,0.038132914618976776,0.0,0.44999999999999996,0.00124148300236985,0.19550146244806466
RGCC,0.10910618105462247,0.28595919510926604,-0.17685301405464357,down_in_CKD,-1.787447431311889,-5.4237607034621975,1.209664249375198e-05,0.002139778041120396,26.140649888482937,1.5543829352058366e-05,0.8439117332858987,0.0009999999999999996,0.0,0.0,0.7238095238095237,0.7166666666666666,0.8611111111111113,0.21666666666666656,0.03448275862068964,0.0,0.4333333333333331,0.03915988678207909,0.19495841413802495
FAM131A,0.03831069268022661,0.07564909327107082,-0.03733840059084421,down_in_CKD,-1.6449999903768655,-5.030017348141504,4.123962974782109e-05,0.0044640360409861565,22.14020428641727,4.989399452174597e-05,0.1443576468343521,1.073215590470984e-18,0.0,0.0,0.7333333333333334,0.7416666666666666,0.7722222222222221,0.24166666666666659,3.7007434154171864e-17,0.0,0.48333333333333317,0.006698602333859794,0.19467305380010527
MPC1,0.6786498147580281,0.9654220976742673,-0.28677228291623924,down_in_CKD,-1.8491792137419114,-5.443034401735399,6.319072924740714e-06,0.0013791545866862912,27.97743080074217,9.36678559241698e-06,1.5168442167308824,0.001000000000000002,0.0,0.0,0.7,0.7083333333333333,0.85,0.20833333333333326,0.034482758620689724,0.0,0.4166666666666665,0.0703858536981729,0.1945369408545771
