gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
VWF,0.8476190476190476,0.8416666666666666,0.8638888888888889,0.34166666666666656
SLC16A7,0.8428571428571427,0.8416666666666666,0.7999999999999999,0.34166666666666656
NFE2L2,0.8476190476190476,0.8416666666666666,0.95,0.34166666666666656
AC010997.5,0.8476190476190475,0.8416666666666666,0.8916666666666666,0.34166666666666656
RPGR,0.8380952380952381,0.8416666666666666,0.8541666666666667,0.34166666666666656
RILPL2,0.8428571428571429,0.8416666666666666,0.8722222222222223,0.34166666666666656
KIF12,0.8428571428571429,0.8416666666666666,0.8722222222222221,0.34166666666666656
PSMA3,0.8428571428571429,0.8333333333333334,0.8388888888888889,0.33333333333333337
TSC22D1,0.8428571428571429,0.8333333333333334,0.9111111111111111,0.33333333333333337
B4GALT1,0.8190476190476191,0.8333333333333333,0.9833333333333332,0.33333333333333326
FOXP1,0.819047619047619,0.8333333333333333,0.95,0.33333333333333326
LONRF1,0.8476190476190476,0.8333333333333333,0.9166666666666666,0.33333333333333326
MGP,0.8428571428571429,0.8333333333333333,0.7805555555555556,0.33333333333333326
EPS8L2,0.819047619047619,0.8333333333333333,0.95,0.33333333333333326
CMTM8,0.819047619047619,0.8333333333333333,0.95,0.33333333333333326
STARD8,0.8428571428571429,0.8333333333333333,0.9361111111111111,0.33333333333333326
CDC42EP3,0.8476190476190476,0.8333333333333333,0.9,0.33333333333333326
CALHM2,0.8142857142857143,0.8333333333333333,0.9333333333333332,0.33333333333333326
NAA40,0.8523809523809524,0.8333333333333333,0.9,0.33333333333333326
SLC31A2,0.8142857142857143,0.8333333333333333,0.8916666666666666,0.33333333333333326
SLC7A6,0.819047619047619,0.825,0.95,0.32499999999999996
CNN3,0.819047619047619,0.825,0.85,0.32499999999999996
TMEM106B,0.8238095238095238,0.825,0.8277777777777778,0.32499999999999996
ZNF436,0.8190476190476191,0.825,0.9361111111111111,0.32499999999999996
DNAJC1,0.8142857142857143,0.825,0.8888888888888887,0.32499999999999996
RASL10A,0.8238095238095238,0.825,0.9166666666666666,0.32499999999999996
UBB,0.819047619047619,0.825,0.9583333333333333,0.32499999999999996
MET,0.8142857142857143,0.825,0.913888888888889,0.32499999999999996
KCNMB4,0.8142857142857143,0.825,0.9277777777777778,0.32499999999999996
INPP1,0.819047619047619,0.825,0.9555555555555555,0.32499999999999996
TRIM35,0.819047619047619,0.825,0.8833333333333332,0.32499999999999996
PXDC1,0.8095238095238095,0.8249999999999998,0.9666666666666666,0.32499999999999984
CFI,0.819047619047619,0.8249999999999998,0.8083333333333333,0.32499999999999984
