gene,random_forest_importance
GRB7,0.00013333333333333358
CTNNB1,0.00013171285042942708
NAA40,0.00013073170731707278
TSLP,0.00011433926897844423
EFNB2,0.00010989010989010917
CLIC5,0.00010782608695652262
CNST,0.00010782608695652245
KRT10,0.00010749999999999838
RPGR,0.00010611205432937266
SLC38A1,0.00010526315789474055
PSME2,0.00010526315789473686
ITGA8,0.00010526315789473617
IMPA2,0.00010521955260977692
IL18R1,0.00010521955260977627
KHDRBS3,0.00010521955260977623
ETAA1,0.00010521955260977564
MYO1B,0.00010485036119711126
KCTD2,1.5295289754036468e-18
MYC,1.5121137122722714e-18
HYAL2,1.3816971395043616e-18
JDP2,1.3221301230147924e-18
RASSF9,1.2608501658712668e-18
CTSC,1.1285505158253176e-18
POMP,1.048398840508776e-18
ANKMY2,1.0206260787782136e-18
TP53I11,9.55772894948583e-19
HLA-C,9.251858538542983e-19
SPARC,9.09270238381457e-19
RRAS,9.054226763141554e-19
C1orf52,8.98966011842232e-19
LRP6,8.922270962571627e-19
FLRT2,8.592702556470345e-19
PDK4,8.551021781850413e-19
CLEC1A,8.505217323151783e-19
CCDC198,8.388351741612297e-19
CNOT6L,8.302949970487278e-19
MTSS1,8.302949970487278e-19
WBP11,8.276208001751161e-19
PDIA5,7.894919286223334e-19
PCTP,7.771561172376096e-19
STMN1,7.467458569375387e-19
DECR2,7.431879409608333e-19
VAMP5,6.810863134232442e-19
MYCN,5.551115123125788e-19
EGFR,5.529346044211567e-19
RGL1,5.103130393891068e-19
RPL27A,5.103130393891068e-19
SLC31A2,5.103130393891064e-19
TMEM204,4.934324553889583e-19
ARHGEF15,4.744542840278446e-19
CD69,4.744542840278446e-19
OAF,4.744542840278446e-19
NCOA3,4.744542840278445e-19
SERPINE1,4.744542840278445e-19
HLA-B,4.744542840278444e-19
TBL1XR1,4.454598555594762e-19
PRTG,4.454598555594761e-19
DENND6A,4.45459855559476e-19
MGP,4.454598555594759e-19
NDUFS4,4.440892098500626e-19
MALSU1,4.138104000875583e-19
USP13,3.8241015292644276e-19
MXD4,3.8241015292644276e-19
GYPC,3.8064789415719646e-19
NCOA7,3.744281573245627e-19
TMEM51,3.554579599850289e-19
P2RY8,2.960594732333752e-19
MYL12A,2.9605947323337516e-19
RC3H1,1.110223024625157e-19
MED30,0.0
FLT1,0.0
MEPCE,0.0
ARHGDIB,0.0
ANXA1,0.0
B4GALT1,0.0
FRMD6,0.0
GNA11,0.0
JUND,0.0
TRDMT1,0.0
UBE2D2,0.0
HS3ST3B1,0.0
TSPAN8,0.0
UBB,0.0
IDI1,0.0
IRF2BP2,0.0
KCTD3,0.0
KCNMB4,0.0
ATL3,0.0
RASL10A,0.0
EIF1,0.0
DYRK2,0.0
CXXC5,0.0
PRX,0.0
PPP1R18,0.0
PSMB9,0.0
PXDC1,0.0
PNMA8A,0.0
MYO6,0.0
NFE2L2,0.0
NUCB2,0.0
PERP,0.0
PEX2,0.0
PINK1,0.0
PLAT,0.0
NDEL1,0.0
EML1,0.0
FGFR1,0.0
EZR,0.0
SDC1,0.0
CLEC4E,0.0
CHSY1,0.0
CHIC1,0.0
COPZ2,0.0
SWI5,0.0
SYNE1,0.0
STX7,0.0
TOX2,0.0
TGFBR1,0.0
TEAD2,0.0
ABLIM1,0.0
