gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
MYO1C,0.8523809523809524,0.85,0.925,0.35
PPP2R5C,0.8666666666666666,0.85,0.9305555555555556,0.35
COL5A2,0.8761904761904761,0.85,0.8833333333333332,0.35
AC023908.3,0.8761904761904763,0.85,0.9,0.35
SYAP1,0.8428571428571429,0.8499999999999999,0.8930555555555555,0.34999999999999987
S100Z,0.8714285714285716,0.8416666666666666,0.9111111111111111,0.34166666666666656
INTU,0.8428571428571427,0.8416666666666666,0.85,0.34166666666666656
FPR1,0.8476190476190476,0.8416666666666666,0.9166666666666666,0.34166666666666656
LINC01410,0.8523809523809524,0.8416666666666666,0.8416666666666666,0.34166666666666656
RNF43,0.8476190476190475,0.8416666666666666,0.9027777777777779,0.34166666666666656
REL,0.8428571428571429,0.8416666666666666,0.8722222222222221,0.34166666666666656
C5AR1,0.8380952380952381,0.8416666666666666,0.9083333333333332,0.34166666666666656
ZNF792,0.8476190476190476,0.8416666666666666,0.8583333333333334,0.34166666666666656
CD200R1,0.8380952380952381,0.8416666666666666,0.8847222222222222,0.34166666666666656
CBR3,0.8523809523809526,0.8416666666666666,0.8777777777777779,0.34166666666666656
IQCB1,0.8476190476190475,0.8416666666666666,0.9277777777777778,0.34166666666666656
NEK5,0.8428571428571429,0.8333333333333334,0.8333333333333334,0.33333333333333337
PAPPA,0.8476190476190476,0.8333333333333334,0.8555555555555555,0.33333333333333337
SORCS2,0.8428571428571429,0.8333333333333334,0.8333333333333334,0.33333333333333337
NOMO2,0.8523809523809524,0.8333333333333333,0.8333333333333333,0.33333333333333326
AC002553.2,0.8476190476190476,0.8333333333333333,0.8333333333333333,0.33333333333333326
LINC02345,0.8523809523809524,0.8333333333333333,0.8333333333333333,0.33333333333333326
AC004540.1,0.8476190476190476,0.8333333333333333,0.8333333333333333,0.33333333333333326
AC004585.1,0.8428571428571429,0.8333333333333333,0.8333333333333333,0.33333333333333326
ELFN1-AS1,0.8476190476190476,0.8333333333333333,0.8333333333333333,0.33333333333333326
TXNRD3,0.8380952380952381,0.8333333333333333,0.925,0.33333333333333326
AC016027.1,0.8476190476190475,0.8333333333333333,0.8333333333333333,0.33333333333333326
AC010531.6,0.8428571428571429,0.8333333333333333,0.8333333333333333,0.33333333333333326
AC005070.3,0.8428571428571429,0.8333333333333333,0.8666666666666666,0.33333333333333326
MTFR2,0.8523809523809526,0.8333333333333333,0.8333333333333333,0.33333333333333326
AL138899.1,0.8476190476190475,0.8333333333333333,0.8333333333333333,0.33333333333333326
AP001437.1,0.8428571428571429,0.8333333333333333,0.8666666666666666,0.33333333333333326
RTL5,0.8476190476190475,0.8333333333333333,0.8555555555555555,0.33333333333333326
SGO1,0.8476190476190475,0.8333333333333333,0.8333333333333333,0.33333333333333326
ADAMTSL3,0.8380952380952381,0.8333333333333333,0.8666666666666666,0.33333333333333326
AC083843.3,0.8476190476190476,0.8333333333333333,0.8555555555555555,0.33333333333333326
RGS1,0.8142857142857143,0.825,0.9555555555555555,0.32499999999999996
CMYA5,0.8238095238095238,0.825,0.8833333333333332,0.32499999999999996
FRAS1,0.8523809523809524,0.825,0.875,0.32499999999999996
LFNG,0.819047619047619,0.825,0.8416666666666666,0.32499999999999996
RARG,0.8238095238095238,0.825,0.9166666666666666,0.32499999999999996
NR6A1,0.8476190476190476,0.825,0.8416666666666666,0.32499999999999996
SUCNR1,0.819047619047619,0.8166666666666667,0.9083333333333332,0.31666666666666665
TIPARP,0.8142857142857143,0.8166666666666667,0.9222222222222222,0.31666666666666665
SIGLEC1,0.8428571428571429,0.8166666666666667,0.8166666666666667,0.31666666666666665
CNOT6L,0.8047619047619048,0.8166666666666667,0.9055555555555556,0.31666666666666665
