gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
BUB3,0.6857142857142857,0.7,0.8416666666666668,0.19999999999999996
SNRK,0.7190476190476189,0.6916666666666667,0.8722222222222221,0.19166666666666665
SLC40A1,0.6952380952380952,0.6916666666666667,0.8833333333333332,0.19166666666666665
CCDC107,0.7238095238095237,0.6916666666666667,0.7944444444444445,0.19166666666666665
SLC19A2,0.680952380952381,0.6916666666666667,0.7277777777777776,0.19166666666666665
SLC25A4,0.6952380952380952,0.6916666666666667,0.8444444444444444,0.19166666666666665
CLCN3,0.6952380952380952,0.6916666666666667,0.6222222222222221,0.19166666666666665
DES,0.7000000000000001,0.6916666666666667,0.7805555555555556,0.19166666666666665
TPD52L1,0.6904761904761905,0.6916666666666667,0.7777777777777778,0.19166666666666665
RYK,0.6904761904761905,0.6916666666666667,0.8305555555555555,0.19166666666666665
UHMK1,0.6857142857142857,0.6833333333333333,0.8,0.18333333333333335
MYH9,0.6904761904761905,0.6833333333333333,0.711111111111111,0.18333333333333335
NUFIP1,0.6904761904761905,0.6833333333333333,0.8444444444444444,0.18333333333333335
COL1A2,0.6904761904761905,0.6833333333333332,0.7666666666666666,0.18333333333333324
CYLD,0.6857142857142857,0.6833333333333332,0.7694444444444445,0.18333333333333324
LMOD1,0.6904761904761905,0.6833333333333332,0.7444444444444445,0.18333333333333324
HOXA9,0.6904761904761905,0.6833333333333332,0.8055555555555556,0.18333333333333324
PFKFB2,0.6619047619047619,0.675,0.8777777777777779,0.17500000000000004
CNN1,0.6904761904761905,0.675,0.7777777777777778,0.17500000000000004
SPRY2,0.6904761904761905,0.675,0.836111111111111,0.17500000000000004
KLHL5,0.6666666666666667,0.6749999999999999,0.7166666666666666,0.17499999999999993
DGKG,0.661904761904762,0.6749999999999999,0.6888888888888889,0.17499999999999993
FIBIN,0.6857142857142857,0.6749999999999999,0.8,0.17499999999999993
ZEB2,0.661904761904762,0.6666666666666667,0.7083333333333333,0.16666666666666674
JUNB,0.661904761904762,0.6666666666666667,0.8111111111111111,0.16666666666666674
IFIT2,0.6619047619047619,0.6666666666666666,0.6694444444444445,0.16666666666666663
CTSD,0.6571428571428571,0.6666666666666666,0.8222222222222222,0.16666666666666663
SLFN11,0.6571428571428571,0.6666666666666666,0.7277777777777777,0.16666666666666663
STAT1,0.7047619047619047,0.6666666666666666,0.7152777777777777,0.16666666666666663
HNF1B,0.6523809523809523,0.6583333333333333,0.8416666666666668,0.15833333333333333
FOLR1,0.6571428571428571,0.6583333333333333,0.7444444444444445,0.15833333333333333
TNFSF10,0.661904761904762,0.6583333333333333,0.85,0.15833333333333333
PMEPA1,0.6952380952380952,0.6583333333333332,0.6805555555555556,0.15833333333333321
CASC15,0.6619047619047619,0.65,0.7819444444444444,0.15000000000000002
MDM4,0.6571428571428571,0.65,0.675,0.15000000000000002
HDAC6,0.6571428571428573,0.65,0.8055555555555556,0.15000000000000002
LAMP2,0.680952380952381,0.65,0.7499999999999999,0.15000000000000002
HRH2,0.6523809523809523,0.6499999999999999,0.7805555555555556,0.1499999999999999
CD24,0.6523809523809523,0.6499999999999999,0.7833333333333333,0.1499999999999999
CCNL1,0.6476190476190475,0.6416666666666666,0.8083333333333333,0.1416666666666666
MITF,0.6523809523809523,0.6416666666666666,0.7555555555555555,0.1416666666666666
BHMT2,0.6571428571428571,0.6416666666666666,0.775,0.1416666666666666
RASSF7,0.657142857142857,0.6416666666666666,0.7972222222222222,0.1416666666666666
FBXW4,0.619047619047619,0.6333333333333333,0.6666666666666667,0.1333333333333333
TMEM181,0.6333333333333333,0.6333333333333333,0.725,0.1333333333333333
GNAS,0.619047619047619,0.6333333333333333,0.6722222222222222,0.1333333333333333
KITLG,0.6571428571428571,0.6333333333333333,0.788888888888889,0.1333333333333333
ABRACL,0.619047619047619,0.6333333333333333,0.825,0.1333333333333333
CLSTN1,0.661904761904762,0.6333333333333333,0.6638888888888889,0.1333333333333333
SRSF6,0.6666666666666667,0.6333333333333333,0.7555555555555555,0.1333333333333333
C6orf62,0.6571428571428571,0.6249999999999999,0.6083333333333334,0.12499999999999989
DPYSL2,0.657142857142857,0.6249999999999999,0.7666666666666667,0.12499999999999989
TOB1,0.6238095238095237,0.6166666666666666,0.736111111111111,0.11666666666666659
OSGEPL1,0.6238095238095238,0.6166666666666666,0.711111111111111,0.11666666666666659
TPM1,0.6285714285714286,0.6083333333333333,0.6944444444444444,0.10833333333333328
TJP1,0.5904761904761904,0.5916666666666666,0.8055555555555556,0.09166666666666656
ITM2B,0.619047619047619,0.5833333333333333,0.711111111111111,0.08333333333333326
HNRNPA1,0.6238095238095237,0.5833333333333333,0.85,0.08333333333333326
ACER3,0.6000000000000001,0.575,0.6944444444444444,0.07499999999999996
PCMTD1,0.557142857142857,0.5583333333333333,0.6291666666666667,0.05833333333333335
PDGFA,0.5666666666666667,0.5583333333333333,0.6138888888888888,0.05833333333333335
PPP3R1,0.5952380952380952,0.5583333333333333,0.7527777777777778,0.05833333333333335
UNC45B,0.5047619047619047,0.475,0.675,0.0
