gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
CDIP1,0.7285714285714285,0.7166666666666666,0.8777777777777779,0.21666666666666656
SLC31A2,0.7238095238095237,0.7166666666666666,0.8333333333333334,0.21666666666666656
SETD1B,0.6904761904761905,0.7083333333333333,0.8222222222222222,0.20833333333333326
YRDC,0.6952380952380952,0.7083333333333333,0.7444444444444445,0.20833333333333326
OGDHL,0.7047619047619048,0.7083333333333333,0.7722222222222221,0.20833333333333326
ENC1,0.7238095238095237,0.7083333333333333,0.8861111111111111,0.20833333333333326
IDI1,0.6952380952380952,0.7083333333333333,0.8388888888888888,0.20833333333333326
ALDH1L1-AS2,0.6904761904761905,0.7,0.9166666666666666,0.19999999999999996
ZBTB16,0.6952380952380952,0.7,0.8138888888888889,0.19999999999999996
MED9,0.6952380952380952,0.7,0.8388888888888889,0.19999999999999996
SKP2,0.7,0.7,0.8027777777777778,0.19999999999999996
TFPI,0.7,0.7,0.8583333333333334,0.19999999999999996
GBP4,0.7190476190476189,0.7,0.8444444444444444,0.19999999999999996
SIK2,0.6952380952380952,0.7,0.8,0.19999999999999996
GADD45G,0.7,0.6916666666666667,0.8388888888888889,0.19166666666666665
FAM111A,0.7,0.6916666666666667,0.7333333333333333,0.19166666666666665
RLN2,0.7,0.6916666666666667,0.7833333333333333,0.19166666666666665
CCNB1IP1,0.6904761904761905,0.6916666666666667,0.8416666666666668,0.19166666666666665
DSEL,0.6904761904761905,0.6833333333333333,0.8388888888888889,0.18333333333333335
COX6B1,0.6666666666666667,0.675,0.8222222222222222,0.17500000000000004
COL4A2,0.6904761904761905,0.6749999999999999,0.8166666666666667,0.17499999999999993
RASGRP1,0.6714285714285715,0.6666666666666665,0.7777777777777779,0.16666666666666652
CHCHD10,0.6571428571428571,0.6583333333333333,0.8138888888888889,0.15833333333333333
FAM227A,0.6095238095238095,0.6083333333333332,0.7277777777777776,0.10833333333333317
