gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_groups,n_control_groups,passes_expression_filter,direction,rank_score,diff_mean_log_expr_CKD_vs_AKI,adj_p_value_CKD_vs_AKI,pct_expr_CKD,pct_expr_AKI,ckd_specificity_score,combined_biomarker_score
AC104794.3,0.0035258021540945186,0.0,0.0035258021540945186,0.5545201121170078,1.4432650763155317,0.1709474072888907,0.5101152813329056,0.0050082195970485915,0.0,0.0050082195970485915,15,18,False,up_in_case,0.0,0.0018666074910831051,1.0,0.0050082195970485915,0.0008944293820051988,-0.0,0.0
AC105001.1,0.0001344249191270939,0.0,0.0001344249191270939,0.5525307863374816,1.4380874022145087,0.17238634989839785,0.5101152813329056,0.00013380739381427533,0.0,0.00013380739381427533,15,18,False,up_in_case,0.0,0.0001344249191270939,0.9725079514753338,0.00013380739381427533,0.0,0.012106839084267055,0.0
AC105277.1,0.004079301745441234,0.006944874233229427,-0.002865572487788193,-0.48868841412896286,-1.4716715023368292,0.15268718184027713,0.5101152813329056,0.0033451848453568836,0.00651270207852194,-0.0031675172331650566,15,18,False,down_in_case,0.0,0.0004983933864950137,1.0,0.0033451848453568836,0.0026553372278279343,-0.0,0.0
AC106900.1,8.809364406307347e-05,0.0,8.809364406307347e-05,0.5571090675314964,1.450003423315434,0.1690896934868459,0.5101152813329056,0.00015292273578774323,0.0,0.00015292273578774323,15,18,False,up_in_case,0.0,8.809364406307347e-05,0.9725079514753338,0.00015292273578774323,0.0,0.012106839084267055,0.0
AC107067.1,0.0001033594054453486,0.0010912403527217594,-0.0009878809472764107,-0.4770569061297946,-1.4960497832967785,0.15255368218275042,0.5101152813329056,9.557670986733953e-05,0.0009237875288683603,-0.0008282108190010208,15,18,False,down_in_case,0.0,-0.000568311138920858,1.0,9.557670986733953e-05,0.0008105766274422115,0.0,0.0
AC107072.2,0.00014424630697763683,0.0,0.00014424630697763683,0.5521905219536787,1.4372017865422804,0.17263347796496686,0.5101152813329056,0.00019115341973467907,0.0,0.00019115341973467907,15,18,False,up_in_case,0.0,0.00014424630697763683,0.9725079514753338,0.00019115341973467907,0.0,0.012106839084267055,0.0
AC108693.2,0.00011798719252347174,0.0,0.00011798719252347174,0.5790618576608259,1.5071405669987998,0.1540042068493093,0.5101152813329056,0.00011469205184080744,0.0,0.00011469205184080744,15,18,False,up_in_case,0.0,0.00011798719252347174,0.9725079514753338,0.00011469205184080744,0.0,0.012106839084267055,0.0
AC108865.2,8.385863403851856e-05,0.0,8.385863403851856e-05,0.5604619685532819,1.4587301130122448,0.16670880811021316,0.5101152813329056,0.00011469205184080744,0.0,0.00011469205184080744,15,18,False,up_in_case,0.0,6.447819953108232e-05,0.9725079514753338,0.00011469205184080744,2.7950918187662463e-05,0.012106839084267055,0.0
AC109460.4,0.0001846486779888891,0.0,0.0001846486779888891,0.5578747627098153,1.451996319669999,0.16854349571258248,0.5101152813329056,0.00011469205184080744,0.0,0.00011469205184080744,15,18,False,up_in_case,0.0,0.0001846486779888891,0.9725079514753338,0.00011469205184080744,0.0,0.012106839084267055,0.0
AC109597.2,9.675754557953425e-05,0.0,9.675754557953425e-05,0.5635465752393218,1.466758505503068,0.16454319133681428,0.5101152813329056,0.00011469205184080744,0.0,0.00011469205184080744,15,18,False,up_in_case,0.0,9.675754557953425e-05,0.9725079514753338,0.00011469205184080744,0.0,0.012106839084267055,0.0
