subclass.l1,marker_set,gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_groups,n_control_groups,passes_expression_filter,direction,rank_score
TAL,down_in_CKD,BTG2,0.07990049863660133,0.9565010985042895,-0.8766005998676882,-1.8889172276971464,-6.026326814102638,1.3023780956957872e-05,0.0022779330088867826,0.06815770862800566,0.5791495198902606,-0.510991811262255,14,18,True,down_in_case,4.375452336105223
TAL,down_in_CKD,SLC7A8,0.15522827779011142,0.455678428387636,-0.30045015059752456,-2.8509146964417025,-8.851098633417907,1.0393256042741924e-08,1.835152066975574e-05,0.13622701555869873,0.4257887517146776,-0.2895617361559789,14,18,True,down_in_case,4.056938405405506
TAL,down_in_CKD,CYB5A,1.4682668163032837,2.0200311787511436,-0.5517643624478599,-2.2942687233735346,-6.245184367676781,1.7915920813374614e-06,0.0007464295997302592,0.7347949080622348,0.9122085048010974,-0.1774135967388626,14,18,True,down_in_case,3.9584700255343463
TAL,down_in_CKD,DCXR,0.6494291760317097,0.9782308629539922,-0.3288016869222825,-2.5979958295115715,-7.617052655126757,1.8004734585985158e-08,2.6704622337933185e-05,0.4618104667609618,0.7075445816186557,-0.24573411485769392,14,18,True,down_in_case,3.906726079211131
TAL,down_in_CKD,KLF6,0.25873506323696244,1.1526073410490147,-0.8938722778120523,-1.7626440807516341,-5.567238338562706,2.3090633864759374e-05,0.0033186073787026264,0.173974540311174,0.6592592592592592,-0.4852847189480852,14,18,True,down_in_case,3.905929069545873
TAL,down_in_CKD,AHCYL1,0.5696430139916984,0.900747581604748,-0.3311045676130496,-2.607761601594305,-7.503082318546069,2.364419457977952e-08,3.0231956379938777e-05,0.432991513437058,0.6672153635116598,-0.23422385007460178,14,18,True,down_in_case,3.9023542527473074
TAL,down_in_CKD,EGF,0.6010314260521408,1.3969362887724628,-0.795904862720322,-1.9059999560367022,-5.24439172306252,1.827140472313985e-05,0.0029202745135087312,0.4115983026874116,0.7569272976680385,-0.34532899498062686,14,18,True,down_in_case,3.844938678005991
TAL,down_in_CKD,UQCRH,1.4045485968143903,1.9214281281041181,-0.5168795312897279,-2.331519647592637,-6.344633393484186,1.4166408902250647e-06,0.0006649246102474101,0.7406294200848657,0.8982167352537723,-0.15758731516890667,14,18,True,down_in_case,3.8289239396627663
VSM/P,top_overall,MT1E,0.981301709585347,2.3414169246719148,-1.3601152150865676,-3.6282126557790817,-10.52411537471751,5.635714421008396e-11,8.080546870098686e-07,0.5004122011541632,0.8595988538681948,-0.3591866527140316,13,17,True,down_in_case,30.06548360757507
VSM/P,top_overall,FKBP5,0.17573584692187,1.0967598130854885,-0.9210239661636186,-4.725666308127997,-14.35514980327021,5.1144416332901785e-12,1.8964349576239982e-07,0.12036273701566365,0.6446991404011462,-0.5243364033854825,13,17,True,down_in_case,29.25745190574301
VSM/P,top_overall,RGCC,0.2601099471271557,1.3784505525622597,-1.118340605435104,-3.9295024898215267,-11.821089749101569,6.537659280015118e-11,8.080546870098686e-07,0.179719703215169,0.6752626552053486,-0.49554295199017956,13,17,True,down_in_case,26.773886823349088
VSM/P,top_overall,TSC22D1,1.4882232760997833,2.711698263350682,-1.2234749872508985,-3.6030319900878105,-10.034954474318253,9.695139115531185e-11,8.987393960097408e-07,0.6611706512778236,0.9407831900668577,-0.27961253878903414,13,17,True,down_in_case,26.65370958791958
VSM/P,top_overall,MT2A,2.1178302788251475,3.6867312361186233,-1.5689009572934758,-3.0978786017238,-9.023946818984014,1.6377842152010313e-09,5.520821699968567e-06,0.8186314921681781,0.9723018147086915,-0.15367032254051338,13,17,True,down_in_case,25.555253725590358
VSM/P,top_overall,CEBPB,0.33090597545374634,1.2344814837375708,-0.9035755082838245,-3.5754865432746814,-10.637883980885453,1.9674308671649407e-10,1.016401560098469e-06,0.2267106347897774,0.6819484240687679,-0.4552377892789905,13,17,True,down_in_case,19.361506329295775
VSM/P,top_overall,CEBPD,0.27103207457243705,1.7813566379941186,-1.5103245634216815,-2.9535898891132972,-9.108583613665095,4.381837839466131e-08,0.00013539878923950343,0.17807089859851608,0.7688634192932188,-0.5907925206947027,13,17,True,down_in_case,17.256399779972845
VSM/P,top_overall,TSC22D3,0.32816995574733543,1.1296875670047153,-0.8015176112573799,-3.396581804840427,-9.817905067655534,2.1928836248079157e-10,1.016401560098469e-06,0.21846661170651277,0.6599808978032474,-0.44151428609673465,13,17,True,down_in_case,16.315286030376647
VSM/P,top_overall,KLF9,0.2941681108420971,0.9155784734268179,-0.6214103625847207,-3.636428547332439,-10.977980509036328,3.5376107443049143e-10,1.4574956266536247e-06,0.18301731244847486,0.5797516714422158,-0.396734358993741,13,17,True,down_in_case,13.188580613564739
VSM/P,top_overall,TIPARP,0.05316335076248567,0.5574331241564615,-0.5042697733939758,-4.073757893378869,-12.495583316596363,1.8511376511265907e-10,1.016401560098469e-06,0.04451772464962902,0.3772683858643744,-0.3327506612147454,13,17,True,down_in_case,12.311123716500523
VSM/P,top_overall,DUSP1,0.47432627060166777,1.589599483121225,-1.1152732125195572,-2.7512235773839535,-8.374605394085547,6.322515267526825e-08,0.00016745633294278192,0.2588623248145095,0.7411652340019103,-0.48230290918740076,13,17,True,down_in_case,11.58645185474471
VSM/P,top_overall,MT1X,0.6071824345116624,1.834202335259539,-1.2270199007478766,-2.4357700856242133,-7.0128247075941825,1.4775595095836526e-07,0.00032228180361977554,0.2786479802143446,0.7392550143266475,-0.4606070341123029,13,17,True,down_in_case,10.435969682453786
VSM/P,top_overall,MT1M,0.4124822137250239,1.7467915713301105,-1.3343093576050866,-2.4270649781786435,-7.3734985264774755,3.9498679759195283e-07,0.0006102546022795671,0.2407254740313273,0.7363896848137536,-0.4956642107824263,13,17,True,down_in_case,10.40997941478487
VSM/P,top_overall,GADD45B,0.4392502627152638,1.5218965202133294,-1.0826462574980655,-2.604152657884392,-7.854283556696979,1.024466249552007e-07,0.00023869689509039456,0.24154987633965375,0.6848137535816619,-0.4432638772420081,13,17,True,down_in_case,10.212212352711164
VSM/P,top_overall,ZFAND5,0.3231477831796013,0.8736137694403903,-0.550465986260789,-3.258123781979906,-9.507479139721987,6.121297216850923e-10,2.2697770080083224e-06,0.21022258862324814,0.5702005730659025,-0.3599779844426544,13,17,True,down_in_case,10.122466939861708
VSM/P,top_overall,C11orf96,1.9953907935745394,3.069644130571484,-1.0742533369969447,-2.505862869190314,-6.801495954697213,3.232347918541042e-07,0.0005447975491795538,0.7469084913437758,0.938872970391595,-0.19196447904781921,13,17,True,down_in_case,8.785831582091006
VSM/P,top_overall,PDK4,0.13732026542821607,0.9900342936829195,-0.8527140282547034,-2.7616118235731393,-8.49732898446601,1.029975814845284e-07,0.00023869689509039456,0.09398186314921682,0.49665711556829034,-0.40267525241907354,13,17,True,down_in_case,8.52968238267435
VSM/P,top_overall,NR4A1,0.11518729923502041,1.1406140349562353,-1.0254267357212148,-2.551028247653607,-7.923255089684603,5.038319139153399e-07,0.0007185418218454156,0.07089859851607584,0.5998089780324737,-0.5289103795163979,13,17,True,down_in_case,8.223183719783075
VSM/P,top_overall,ZFP36,0.6105136632089443,1.5484609674814147,-0.9379473042724704,-2.289652125368781,-6.738183165151926,4.7065362553770114e-07,0.0006980734573975183,0.302555647155812,0.7182425978987583,-0.4156869507429463,13,17,True,down_in_case,6.777952850827221
VSM/P,top_overall,PER1,0.10941956546969091,0.4310067429336463,-0.32158717746395543,-3.453497494365048,-10.130121394730217,2.143102995387368e-10,1.016401560098469e-06,0.07337180544105523,0.3237822349570201,-0.2504104295159648,13,17,True,down_in_case,6.6557563182256265
VSM/P,top_overall,BTG2,0.15004473225683626,1.026418075071133,-0.8763733428142967,-2.4039965409939654,-7.470722146872289,1.1244332644028484e-06,0.0013449672723889554,0.09810387469084914,0.5558739255014327,-0.45777005081058353,13,17,True,down_in_case,6.049225804710357
VSM/P,top_overall,RHOB,0.8923546989035606,1.6787271910847967,-0.7863724921812362,-2.3241412402331,-6.657715518866527,3.458192733483127e-07,0.0005575208111198016,0.45012366034624895,0.7975167144221585,-0.3473930540759096,13,17,True,down_in_case,5.946665798988778
