gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_groups,n_control_groups,passes_expression_filter,direction,rank_score
CRBN,0.21341260330918915,0.2022502701554387,0.011162333153750453,0.2929864043527556,0.7510752386590396,0.4602207200960753,1.0,0.16964866001452766,0.14889454118567794,0.020754118828849727,15,12,True,up_in_case,-0.0
CRCP,0.07504358757452642,0.07214348906349664,0.0029000985110297778,0.11239318738063518,0.2766958994055271,0.7851670753075817,1.0,0.06233513017547884,0.05198870782905218,0.01034642234642666,15,12,True,up_in_case,-0.0
CREB1,0.14216650240994297,0.13621526262798825,0.00595123978195472,0.16243623815570823,0.4286082072625366,0.6718852566507515,1.0,0.1162021638567114,0.10668865472230762,0.00951350913440377,15,12,True,up_in_case,-0.0
CREB3,0.14190559197263705,0.14820399794467978,-0.006298405972042731,-0.17125612041289606,-0.4701106644478236,0.6427868860859374,1.0,0.1207324999044233,0.11999329177963496,0.0007392081247883375,15,12,True,down_in_case,-0.0
CREB5,0.10057434527508426,0.1085449705747073,-0.007970625299623044,-0.14528234315215405,-0.38469513800340194,0.7037168132650004,1.0,0.07850670948503269,0.08469128210861727,-0.006184572623584586,15,12,True,down_in_case,-0.0
CREBBP,0.13705614859184836,0.1327805670110117,0.004275581580836657,0.12405386895612489,0.3211876172566733,0.7508539708757804,1.0,0.11618304851473793,0.10531905973111216,0.010863988783625766,15,12,True,up_in_case,-0.0
CREBZF,0.17505944706420629,0.16527895331120476,0.009780493753001523,0.2194981911699435,0.582544515704422,0.5654181982077026,1.0,0.14005811063959933,0.1322637448640188,0.007794365775580542,15,12,True,up_in_case,-0.0
CREG1,0.23721466979068193,0.2290042211197061,0.00821044867097584,0.11453521308591358,0.29370078012492357,0.7716159369218083,1.0,0.19086668960507702,0.17829890711909888,0.012567782485978146,15,12,True,up_in_case,-0.0
CRELD1,0.108024066726106,0.10423546194439959,0.003788604781706409,0.0954852647321342,0.26248033333483023,0.7953516384589673,1.0,0.09574874794510074,0.0900299074824608,0.005718840462639943,15,12,True,up_in_case,-0.0
CREM,0.1482772428121676,0.15016144327868805,-0.0018842004665204637,-0.0665955712174828,-0.17371631494022807,0.8635161759292104,1.0,0.13363535573651414,0.12857422366324733,0.005061132073266805,15,12,True,down_in_case,-0.0
CRIP1,0.4126035375577212,0.33124894515874936,0.08135459239897186,0.2759148333266977,0.7106416297249503,0.4843049585048764,1.0,0.22718583935466605,0.14772060262179612,0.07946523673286993,15,12,True,up_in_case,-0.0
CRIP2,0.5519122195580957,0.5189467796969301,0.03296543986116551,0.1898092974441109,0.5181539045981156,0.6092471359058063,1.0,0.35298390488205833,0.3343209324426307,0.018662972439427605,15,12,True,up_in_case,-0.0
CRIPT,0.22375036720350724,0.2159955072118154,0.007754859991691843,0.2865451124725641,0.7477389913650123,0.46173051120880454,1.0,0.1850556256451428,0.1737149565363222,0.011340669108820589,15,12,True,up_in_case,-0.0
CRK,0.15561578783456312,0.1526226096826062,0.0029931781519569323,0.12974257173600467,0.32950279316380293,0.7448993229378672,1.0,0.1288947509270941,0.13114570813651227,-0.002250957209418175,15,12,True,up_in_case,-0.0
CRKL,0.056043085285386054,0.05642877168265104,-0.00038568639726498793,-0.035395211318186764,-0.08830133549481874,0.930528766749576,1.0,0.05008219597048591,0.048662548564720354,0.0014196474057655561,15,12,True,down_in_case,-0.0
CRNDE,0.10818223386255107,0.08415058747793984,0.024031646384611235,0.2733184528140636,0.7485288395922395,0.46177179896495285,1.0,0.08016974423672439,0.07339911116080164,0.006770633075922752,15,12,True,up_in_case,-0.0
