gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_groups,n_control_groups,passes_expression_filter,direction,rank_score,diff_mean_log_expr_CKD_vs_AKI,adj_p_value_CKD_vs_AKI,pct_expr_CKD,pct_expr_AKI,ckd_specificity_score,combined_biomarker_score
LRRC59,0.09319232346988653,0.11987123202845819,-0.026678908558571662,-1.0252339791859404,-3.0419485116929224,0.004885598045658686,0.08680053710544974,0.08448981152272814,0.13279445727482678,-0.04830464575209864,15,18,True,down_in_case,0.029033666152173395,-0.02842512843310803,0.9725079514753338,0.08448981152272814,0.10224445873046929,0.0,0.029033666152173395
DGCR6L,0.32037846158245425,0.36870569991904234,-0.048327238336588085,-0.8736407044931539,-2.4075149292525038,0.024329672931626762,0.2059219977869711,0.24326184195435258,0.34115473441108546,-0.09789289245673288,15,18,True,down_in_case,0.028975911170108927,0.009285357010368145,1.0,0.24326184195435258,0.23056712413002767,-0.0,0.028975911170108927
ICOSLG,0.02783714343791271,0.059580854202201744,-0.03174371076428903,-0.9479393999556041,-2.9470000295977123,0.008152750243107753,0.11390288138414686,0.02655121000114692,0.07108545034642032,-0.044534240345273396,15,18,True,down_in_case,0.028389921708043657,0.005899221992530283,0.9725079514753338,0.02655121000114692,0.021522207004500096,0.012106839084267055,0.028733633921777885
H2AFV,0.46898461132464114,0.5171819893993336,-0.04819737807469243,-0.841091675543405,-2.4143055923706713,0.022006123409040436,0.19568034916240273,0.34248958213862446,0.44069284064665126,-0.0982032585080268,15,18,True,down_in_case,0.028719551945686202,-0.05140058540488951,0.9725079514753338,0.34248958213862446,0.3524051765100484,0.0,0.028719551945686202
EML1,0.04131575307255772,0.06175219217626923,-0.020436439103711512,-1.1471566820035728,-3.288211053408985,0.0025662595399245885,0.061670060752043905,0.0324578506709485,0.050808314087759814,-0.018350463416811312,15,18,True,down_in_case,0.028365251523859804,0.008271018384169333,0.9725079514753338,0.0324578506709485,0.025575090141711155,0.012106839084267055,0.028708665059643937
RBBP6,0.18907386829318823,0.22859448844748975,-0.03952062015430152,-0.8851639823976244,-2.622626864209599,0.013610006501254868,0.1517771552079791,0.15766334059716328,0.2333025404157044,-0.07563919981854111,15,18,True,down_in_case,0.028643225349793307,0.0041649136485061855,1.0,0.15766334059716328,0.1522207004500098,-0.0,0.028643225349793307
PDGFD,0.04757580303374362,0.07464767689844715,-0.027071873864703527,-1.0224036123043712,-2.9762639849262404,0.005616154740578762,0.09325310632073894,0.035000191153419735,0.05459584295612009,-0.019595651802700356,15,18,True,down_in_case,0.028518052187735628,-0.00012175716779001117,1.0,0.035000191153419735,0.02870559297872935,0.0,0.028518052187735628
RBP7,0.0933102272688065,0.1450791587510276,-0.05176893148222109,-0.8118850864982553,-2.3497682333201553,0.025357854019896722,0.21077543758300168,0.06447604847650724,0.11454965357967667,-0.050073605103169425,15,18,True,down_in_case,0.028420131721263675,0.010964707266036697,1.0,0.06447604847650724,0.04704139530983593,-0.0,0.028420131721263675
PHPT1,0.9513444231469391,1.0305700298119875,-0.07922560666504841,-0.6992884623327863,-2.0093607765569237,0.053447697714119474,0.30721330321081175,0.5637114347975686,0.6531177829099307,-0.08940634811236214,15,18,True,down_in_case,0.028396618837828604,-0.06301977671567649,0.9725079514753338,0.5637114347975686,0.5777454789389831,0.0,0.028396618837828604
KANSL1-AS1,0.08449643462271553,0.15335763283188364,-0.06886119820916811,-0.7239223281969098,-2.130888979244674,0.041263213603184516,0.26953341770796463,0.056906373055013955,0.16272517321016167,-0.10581880015514772,15,18,True,down_in_case,0.028384051474007504,0.00596205548162608,1.0,0.056906373055013955,0.06224669480392431,-0.0,0.028384051474007504
