gene,elasticnet_coefficient,abs_elasticnet_coefficient,selected_by_model,best_C,best_l1_ratio,rank_score,adj_p_value,diff_mean_log_expr,cohen_d,pct_expr_case,pct_expr_control
TSPAN7,0.0,0.0,False,0.3593813663804626,0.5,0.2342430431895445,0.018462074459492214,-0.09437181101524064,-1.4316787466008198,0.13904499751500554,0.2390300230946882
SEC61B,0.0,0.0,False,0.3593813663804626,0.5,0.23381924632904594,0.06253144147171731,-0.16818734705982008,-1.1547712397063525,0.5354780747027564,0.6737182448036951
KNG1,0.0,0.0,False,0.3593813663804626,0.5,0.23305642285952546,0.14974052443124072,-0.3086205877455076,-0.9157162269086804,0.2944909584432466,0.3479445727482679
MAP1LC3B,0.0,0.0,False,0.3593813663804626,0.5,0.232227337082827,0.025549021929295757,-0.11151977280571462,-1.3075181945076186,0.2982757961539932,0.4212933025404157
GALNT3,0.0,0.0,False,0.3593813663804626,0.5,0.231306663009328,0.020752181863702836,0.08053851384713955,1.7065415647036433,0.13023282486523685,0.08928406466512702
HSP90AB1,0.0,0.0,False,0.3593813663804626,0.5,0.23033212468338518,0.0824511320498015,-0.2053070634801204,-1.0351424586428823,0.6150743586802768,0.726189376443418
GRPEL1,0.0,0.0,False,0.3593813663804626,0.5,0.2299270688224748,0.005705841309885092,-0.061711557635874825,-1.6605907618558826,0.13757311618304852,0.22928406466512702
KDR,0.0,0.0,False,0.3593813663804626,0.5,0.22916969847654733,0.01119984555156415,-0.07739418494713958,-1.5178847386806924,0.04050540964177849,0.08
CHSY1,0.0,0.0,False,0.3593813663804626,0.5,0.2285116203421909,0.004934786039987574,-0.05912490389078248,-1.6754858457060404,0.04757808617196162,0.1148729792147806
TFPI,0.0,0.0,False,0.3593813663804626,0.5,0.22842219394552854,0.023528919829325624,0.09516697334012314,1.473979617897278,0.1749244943992048,0.1292378752886836
C8orf59,0.0,0.0,False,0.3593813663804626,0.5,0.226525023488781,0.09341510151959878,-0.18855535772128068,-1.1668525558687586,0.25851588484918,0.4913625866050808
TCEAL3,0.0,0.0,False,0.3593813663804626,0.5,0.22623521617388573,0.015544356069709934,-0.08733894446012541,-1.432356832686411,0.15911610658714684,0.2647575057736721
SLIRP,0.0,0.0,False,0.3593813663804626,0.5,0.22618234507542656,0.0738013526926764,-0.17374579584482097,-1.1500656944938403,0.42453262988874874,0.5783833718244804
TMEM176B,0.0,0.0,False,0.3593813663804626,0.5,0.2258486408880693,0.10650965790309158,0.21416615750189916,1.0842450673139359,0.41610276407844937,0.35441108545034644
PPP1R14A,0.0,0.0,False,0.3593813663804626,0.5,0.2252010742290231,0.015039610038197017,-0.085779008717502,-1.440320457623817,0.04440493940436594,0.08697459584295612
